BEEF                        12:57 am          12-15-1988          1200   
CTHULU                      12:59 am          12-15-1988          1200   
CTHULU                      01:40 am          12-15-1988          1200   
ROSE                        01:48 am          12-15-1988          1200   
MAMMON                      06:43 am          12-15-1988          1200   
MAMMON                      06:52 am          12-15-1988          1200   
MAMMON                      07:00 am          12-15-1988          1200   
ROB!                        09:39 am          12-15-1988          1200   
ROB!                        10:04 am          12-15-1988          1200   
ROB!                        10:09 am          12-15-1988          1200   
ROB!                        10:23 am          12-15-1988          1200   
POSEIDON                    10:59 am          12-15-1988          1200   
POSEIDON                    11:01 am          12-15-1988          1200   
JOLIN SCYTHE                11:46 am          12-15-1988          1200   
JOLIN SCYTHE                11:57 am          12-15-1988          1200   

